	AAPL	Stock Price	Cash	Portfolio Value
2015-01-02	100	105.69861999999999	0.0	10569.862
2015-01-05	100	102.72091999999999	0.0	10272.091999999999
2015-01-06	100	102.73059	0.0	10273.059000000001
2015-01-07	100	104.171098	0.0	10417.1098
2015-01-08	100	108.173588	0.0	10817.3588
2015-01-09	100	108.28960500000001	0.0	10828.960500000001
2015-01-12	100	105.621276	0.0	10562.1276
2015-01-13	100	106.559059	0.0	10655.9059
2015-01-14	100	106.153011	0.0	10615.3011
2015-01-15	100	103.27198800000001	0.0	10327.1988
2015-01-16	100	102.469554	0.0	10246.9554
2015-01-20	100	105.10888100000001	0.0	10510.888100000002
2015-01-21	100	105.91131399999999	0.0	10591.131399999998
2015-01-22	100	108.66665	0.0	10866.665
2015-01-23	100	109.22738799999999	0.0	10922.7388
2015-01-26	100	109.343397	0.0	10934.3397
2015-01-27	100	105.51492900000001	0.0	10551.492900000001
2015-01-28	100	111.479991	0.0	11147.999099999999
2015-01-29	100	114.950754	0.0	11495.0754
2015-01-30	100	113.26855	0.0	11326.855
2015-02-02	100	114.689718	0.0	11468.9718
2015-02-03	100	114.709057	0.0	11470.9057
2015-02-04	100	115.588828	0.0	11558.882800000001
2015-02-05	100	116.41384599999999	0.0	11641.3846
2015-02-06	100	115.43353700000002	0.0	11543.353700000001
2015-02-09	0	116.200313	11620.031299999999	11620.031299999999
2015-02-10	100	118.43269	-223.2377000000015	11620.031299999999
2015-02-11	0	121.20860800000001	11897.623099999999	11897.623099999999
2015-02-12	0	122.74215900000002	11897.623099999999	11897.623099999999
2015-02-13	0	123.343934	11897.623099999999	11897.623099999999
2015-02-17	100	124.07188500000001	-509.5654000000013	11897.623099999999
2015-02-18	100	124.93571899999999	-509.5654000000013	11984.006499999998
2015-02-19	100	124.673652	-509.5654000000013	11957.799799999999
2015-02-20	100	125.69278600000001	-509.5654000000013	12059.7132
2015-02-23	100	129.089888	-509.5654000000013	12399.4234
2015-02-24	0	128.28428799999998	12318.863399999997	12318.863399999997
2015-02-25	0	125.003653	12318.863399999997	12318.863399999997
2015-02-26	0	126.58573700000001	12318.863399999997	12318.863399999997
2015-02-27	-100	124.68336799999999	24787.200199999996	12318.863399999997
2015-03-02	-100	125.294836	24787.200199999996	12257.716599999996
2015-03-03	-100	125.556903	24787.200199999996	12231.509899999995
