	Cummulative Return
0	0.15694907842694694
1	0.0951883572368295
2	0.028052665209820082
3	0.21744193065150696
4	0.23256256325768287
5	0.40473638161028136
6	0.41058438605915515
7	0.5728208088241844
8	0.5923606760428839
9	0.42559961520784406
10	0.5283857916025769
11	0.5877586386652927
12	0.5616987998518803
13	0.8046243271671853
14	0.7511315284911013
15	0.6622933203858292
16	0.862523408536459
17	0.7054318022316661
18	0.6814652736241955
19	0.8647515644007457
20	0.7778047433353443
21	0.8296913526401768
22	0.8851352269310606
23	0.8947057492330557
24	0.9037863124419214
25	0.9358883966507787
26	0.9670032210448916
27	0.9168342405984109
28	0.9699051132361036
29	0.8651899239554879
30	0.830763684521141
31	1.0224890542563374
32	0.9219000021003105
33	0.9981345073379384
34	0.9446689275602647
35	0.9340713625211006
36	1.0266572922144106
37	0.9612931654169175
38	1.0120204975239977
39	1.0412925542452678
40	1.0161942133208544
41	1.019293582073257
42	1.1242052545246093
43	1.1129419192038652
44	1.1129419192038652
45	1.0912295922122737
46	1.1066058951384612
47	1.1129419192038652
48	1.1685892303986565
49	1.1129419192038652
50	1.1066058951384612
51	1.1066058951384612
52	1.1685892303986565
53	1.1129419192038652
54	1.1129419192038652
55	1.1129419192038652
56	1.1204717431504774
57	1.1129419192038652
58	1.1129419192038652
59	1.1129419192038652
60	1.1204717431504774
61	1.1129419192038652
62	1.1129419192038652
63	1.1204717431504774
64	1.1129419192038652
65	1.1129419192038652
66	1.1129419192038652
67	1.1204717431504774
68	1.1129419192038652
69	1.1129419192038652
70	1.1129419192038652
71	1.1204717431504774
72	1.1129419192038652
73	1.1129419192038652
74	1.1129419192038652
75	1.1129419192038652
76	1.1129419192038652
77	1.1129419192038652
78	1.1129419192038652
79	1.1129419192038652
80	1.1129419192038652
81	1.1129419192038652
82	1.1129419192038652
83	1.1129419192038652
84	1.1129419192038652
85	1.1129419192038652
86	1.1129419192038652
87	1.1129419192038652
88	1.1129419192038652
89	1.1129419192038652
90	1.1129419192038652
91	1.1129419192038652
92	1.1129419192038652
93	1.1129419192038652
94	1.1129419192038652
95	1.1129419192038652
96	1.1129419192038652
97	1.1129419192038652
98	1.1129419192038652
99	1.1129419192038652
