	GOOG	Stock Price	Cash	Portfolio Value
2016-01-04	0	741.840027	74184.0027	74184.0027
2016-01-05	0	742.580017	74184.0027	74184.0027
2016-01-06	0	743.619995	74184.0027	74184.0027
2016-01-07	0	726.3900150000001	74184.0027	74184.0027
2016-01-08	0	714.469971	74184.0027	74184.0027
2016-01-11	0	716.030029	74184.0027	74184.0027
2016-01-12	0	726.070007	74184.0027	74184.0027
2016-01-13	0	700.5599980000001	74184.0027	74184.0027
2016-01-14	0	714.719971	74184.0027	74184.0027
2016-01-15	0	694.450012	74184.0027	74184.0027
2016-01-19	0	701.789978	74184.0027	74184.0027
2016-01-20	0	698.450012	74184.0027	74184.0027
2016-01-21	0	706.590027	74184.0027	74184.0027
2016-01-22	0	725.25	74184.0027	74184.0027
2016-01-25	0	711.669983	74184.0027	74184.0027
2016-01-26	0	713.039978	74184.0027	74184.0027
2016-01-27	0	699.98999	74184.0027	74184.0027
2016-01-28	0	730.960022	74184.0027	74184.0027
2016-01-29	0	742.950012	74184.0027	74184.0027
2016-02-01	0	752.0	74184.0027	74184.0027
2016-02-02	100	764.650024	-2280.9997000000003	74184.0027
2016-02-03	100	726.950012	-2280.9997000000003	70414.0015
2016-02-04	100	708.01001	-2280.9997000000003	68520.00129999999
2016-02-05	0	683.570007	66076.001	66076.001
2016-02-08	0	682.73999	66076.001	66076.001
2016-02-09	0	678.1099849999999	66076.001	66076.001
2016-02-10	0	684.119995	66076.001	66076.001
2016-02-11	0	683.1099849999999	66076.001	66076.001
2016-02-12	100	682.400024	-2164.0013999999937	66076.001
2016-02-16	0	691.0	66935.9986	66935.9986
2016-02-17	100	708.400024	-3904.0037999999913	66935.9986
2016-02-18	0	697.349976	65830.99380000001	65830.99380000001
2016-02-19	-100	700.909973	135921.9911	65830.99380000001
2016-02-22	0	706.460022	65275.98890000001	65275.98890000001
2016-02-23	0	695.849976	65275.98890000001	65275.98890000001
2016-02-24	-100	699.5599980000001	135231.98870000002	65275.98890000001
2016-02-25	-100	705.75	135231.98870000002	64656.988700000016
2016-02-26	-100	705.070007	135231.98870000002	64724.98800000001
2016-02-29	0	697.77002	65454.98670000001	65454.98670000001
2016-03-01	-100	718.8099980000001	137335.9865	65454.986699999994
2016-03-02	-100	718.849976	137335.9865	65450.9889
2016-03-03	-100	712.419983	137335.9865	66093.98819999999
2016-03-04	-100	710.8900150000001	137335.9865	66246.98499999999
2016-03-07	0	695.159973	67819.9892	67819.9892
2016-03-08	-100	693.969971	137216.9863	67819.9892
2016-03-09	-100	705.23999	137216.9863	66692.98729999998
2016-03-10	-100	712.820007	137216.9863	65934.98559999999
2016-03-11	-100	726.820007	137216.9863	64534.985599999985
2016-03-14	-100	730.48999	137216.9863	64167.98729999998
2016-03-15	-100	728.330017	137216.9863	64383.984599999996
2016-03-16	-100	736.090027	137216.9863	63607.98359999999
2016-03-17	-100	737.780029	137216.9863	63438.98339999998
2016-03-18	0	737.599976	63456.98869999999	63456.98869999999
2016-03-21	100	742.090027	-10752.01400000001	63456.98869999999
2016-03-22	100	740.75	-10752.01400000001	63322.98599999999
2016-03-23	100	738.0599980000001	-10752.01400000001	63053.985799999995
2016-03-24	100	735.299988	-10752.01400000001	62777.98479999999
2016-03-28	100	733.530029	-10752.01400000001	62600.9889
2016-03-29	100	744.77002	-10752.01400000001	63724.988
2016-03-30	100	750.530029	-10752.01400000001	64300.9889
2016-03-31	0	744.950012	63742.98719999999	63742.98719999999
2016-04-01	100	749.909973	-11248.010100000014	63742.98719999999
