	GOOG	Stock Price	Cash	Portfolio Value
2015-01-02	100	524.812404	0.0	52481.2404
2015-01-05	100	513.872306	0.0	51387.230599999995
2015-01-06	100	501.962262	0.0	50196.226200000005
2015-01-07	100	501.102268	0.0	50110.2268
2015-01-08	100	502.682285	0.0	50268.2285
2015-01-09	100	496.17224400000003	0.0	49617.22440000001
2015-01-12	100	492.552239	0.0	49255.2239
2015-01-13	100	496.18225099999995	0.0	49618.225099999996
2015-01-14	100	500.87226699999997	0.0	50087.2267
2015-01-15	100	501.79227099999997	0.0	50179.2271
2015-01-16	100	508.082288	0.0	50808.2288
2015-01-20	100	506.90229400000004	0.0	50690.229400000004
2015-01-21	100	518.042373	0.0	51804.2373
2015-01-22	100	534.392388	0.0	53439.2388
2015-01-23	100	539.952437	0.0	53995.243700000006
2015-01-26	100	535.212448	0.0	53521.2448
2015-01-27	100	518.63237	0.0	51863.237
2015-01-28	100	510.00231799999995	0.0	51000.231799999994
2015-01-29	100	510.6623	0.0	51066.23
2015-01-30	100	534.5224450000001	0.0	53452.24450000001
2015-02-02	0	528.4823809999999	52848.238099999995	52848.238099999995
2015-02-03	-100	529.2424	105772.4781	52848.238099999995
2015-02-04	-100	522.762349	105772.4781	53496.2432
2015-02-05	0	527.582391	53014.23899999999	53014.23899999999
2015-02-06	0	531.002415	53014.23899999999	53014.23899999999
2015-02-09	0	527.832406	53014.23899999999	53014.23899999999
2015-02-10	100	536.942412	-680.0022000000099	53014.23899999999
2015-02-11	100	535.972405	-680.0022000000099	52917.23829999999
2015-02-12	100	542.932472	-680.0022000000099	53613.24499999999
2015-02-13	0	549.0125009999999	54221.24789999998	54221.24789999998
2015-02-17	0	542.842443	54221.24789999998	54221.24789999998
2015-02-18	0	539.702422	54221.24789999998	54221.24789999998
2015-02-19	-100	542.872432	108508.49109999998	54221.24789999999
2015-02-20	0	538.952441	54613.24699999998	54613.24699999998
2015-02-23	0	531.912381	54613.24699999998	54613.24699999998
2015-02-24	100	536.092424	1004.0045999999784	54613.24699999998
2015-02-25	100	543.872489	1004.0045999999784	55391.25349999998
2015-02-26	0	555.482516	56552.25619999998	56552.25619999998
2015-02-27	100	558.402511	712.0050999999803	56552.25619999998
2015-03-02	0	571.342601	57846.26519999997	57846.26519999997
2015-03-03	0	573.64261	57846.26519999997	57846.26519999997
2015-03-04	100	573.372583	509.0068999999785	57846.26519999997
2015-03-05	0	575.3326089999999	58042.26779999997	58042.26779999997
2015-03-06	100	567.687558	1273.5119999999733	58042.26779999997
2015-03-09	0	568.852557	58158.767699999975	58158.767699999975
2015-03-10	0	555.012538	58158.767699999975	58158.767699999975
2015-03-11	0	551.1825150000001	58158.767699999975	58158.767699999975
2015-03-12	-100	555.512505	113710.01819999998	58158.767699999975
2015-03-13	-100	547.322503	113710.01819999998	58977.76789999998
2015-03-16	0	554.512509	58258.76729999998	58258.76729999998
2015-03-17	0	550.842471	58258.76729999998	58258.76729999998
2015-03-18	0	559.502513	58258.76729999998	58258.76729999998
2015-03-19	-100	557.992512	114058.01849999998	58258.76729999997
2015-03-20	-100	560.362537	114058.01849999998	58021.764799999975
2015-03-23	0	558.81251	58176.76749999998	58176.76749999998
2015-03-24	0	570.192597	58176.76749999998	58176.76749999998
2015-03-25	-100	558.7875389999999	114055.52139999997	58176.76749999997
2015-03-26	-100	555.172522	114055.52139999997	58538.26919999997
2015-03-27	-100	548.342512	114055.52139999997	59221.27019999996
2015-03-30	-100	552.0325019999999	114055.52139999997	58852.27119999998
2015-03-31	-100	548.002468	114055.52139999997	59255.27459999997
2015-04-01	0	542.5624389999999	59799.277499999975	59799.277499999975
2015-04-02	0	535.532417	59799.277499999975	59799.277499999975
2015-04-06	100	536.767432	6122.5342999999775	59799.277499999975
2015-04-07	100	537.022404	6122.5342999999775	59824.77469999998
2015-04-08	100	541.612446	6122.5342999999775	60283.778899999976
2015-04-09	0	540.782472	60200.781499999975	60200.781499999975
2015-04-10	-100	540.012416	114202.02309999998	60200.781499999975
2015-04-13	-100	539.172466	114202.02309999998	60284.77649999998
2015-04-14	-100	530.3924049999999	114202.02309999998	61162.782599999984
2015-04-15	0	532.532429	60948.78019999998	60948.78019999998
2015-04-16	0	533.8023910000001	60948.78019999998	60948.78019999998
2015-04-17	0	524.0523860000001	60948.78019999998	60948.78019999998
2015-04-20	100	535.382408	7410.539399999972	60948.78019999998
2015-04-21	100	533.972413	7410.539399999972	60807.78069999997
2015-04-22	100	539.367458	7410.539399999972	61347.28519999998
2015-04-23	100	547.002472	7410.539399999972	62110.78659999997
2015-04-24	0	565.0625610000001	63916.79549999998	63916.79549999998
2015-04-27	0	555.369995	63916.79549999998	63916.79549999998
2015-04-28	-100	553.679993	119284.79479999997	63916.79549999998
2015-04-29	0	549.080017	64376.79309999997	64376.79309999997
